,evaluation_timestep,eval_start_date,eval_end_date,eval_length,signal_length,holding_period,opt_entry_exit,pmwf,ur_1,ur_signal,uhr,ufmfgs,ctwof1,ctwof2,num_penu,penu_filter_thresh,profit,sharpe,av_pnl,av_pnl_holding,stdev_pnl,lb1_0,lb1_1,lb1_2,lb1_3,lb1_4,lb1_5,lb1_6,lb5_0,lb5_1,lb5_2,lb5_3,lb5_4,lb5_5,lb5_6
0,400,2023-05-01,2023-05-30,20,20,11,0,0,0,0,0,1,0,0,0.15,0.2,0.9688068243035216,-1.1529012223590958,-0.031294393676309,-0.0172119165219699,0.0271440372075186,2.252238151201439,-1.0479075235120614,0.058688038990340065,-0.6153438072218211,0.07341554874505198,0.5023310868961232,0.0018021509334543659,1.368326136480496,0.16230189287014768,-0.938993372412546,0.01788917633975175,0.36014239616880006,0.5280353959241395,-0.018587164017459443
1,422,2023-06-01,2023-06-30,20,20,10,0,0,0,0,0,1,0,0,0.15,0.2,0.9965504253089976,-0.0710963609303919,-0.002726049936411,-0.0013630249682055,0.0383430305115064,0.36469530753661933,0.18993726333253896,0.7050859876685875,-0.6076271977428,-0.3561467837108831,0.3534388492980404,0.09250920322917876,-1.8091005282851376,2.117040256013407,0.08434634089897597,0.05701914899292868,-0.33540357904169105,0.3629381563264491,0.12866380966299476
2,443,2023-07-03,2023-08-01,20,20,0,0,0,0,0,0,1,0,0,0.15,0.2,1.0,,0.0,0.0,0.0,1.9243263566570337,0.1326263274667072,0.718457029342599,-0.4411604590596584,-0.3882429630432592,0.19085214408020582,0.016129127025890738,0.5605674820846583,0.9327303727859496,-0.8096636640623458,-0.09881992178664238,0.27825745260763507,0.3216534371862318,-0.0010196209689707918
3,463,2023-08-01,2023-08-29,20,20,0,0,0,0,0,0,1,0,0,0.15,0.2,1.0,,0.0,0.0,0.0,1.502715704515438,0.4877636353132508,0.0698470619724753,-0.18535660624458744,-0.055734473441410366,0.2767542254622724,-0.5445248995089571,1.483055262899297,0.9968423647312251,-0.13019510928979966,0.4277248207124706,-0.21154180626820746,0.43294671674233737,-0.003424383381187227
4,486,2023-09-01,2023-10-02,20,20,16,0,0,0,0,0,1,0,0,0.15,0.2,1.0159332985184084,0.3858696251187234,0.0167508098024612,0.0134006478419689,0.04341054260829,1.4521886197349343,-1.8215348443727817,0.37076420388437753,-0.2529329739669563,0.5704209529012367,0.4934731738055321,-0.2592896041515971,-1.1728836683136612,-1.004175900252226,0.20042693070388332,-0.7334022302966972,0.7207281479408016,0.4126458131462143,-0.19893598095893658
5,506,2023-10-02,2023-10-30,20,20,17,0,0,0,0,0,1,0,0,0.15,0.2,0.9733573049003776,-0.7444517853913001,-0.0263547958233325,-0.0224015764498327,0.0354016154444171,-2.836377861560491,-0.362795405253067,0.5901674047744742,-0.4518673729719669,0.0961853693721996,0.07042485521049784,-0.28509770950553404,-3.241560481188878,0.8568417264161501,-0.2461114772846267,0.38608652765472234,0.24198841462007337,0.162694974326149,-0.31577640790982264
6,528,2023-11-01,2023-11-30,20,20,15,0,0,0,0,0,1,0,0,0.15,0.2,0.916794333586508,-2.074240492626691,-0.085812720810003,-0.0643595406075023,0.0413706709106498,-1.6403800964782487,-1.4567409150597586,-0.09663191379161444,0.30139464746806455,0.9290290800943638,0.14535690223314465,0.7165206471628013,-2.9334782483980226,-0.22736239880369893,0.21979208853249513,-0.7194734428855907,0.3573282510828145,-0.10374418127718968,-0.3330949611485333
7,549,2023-12-01,2024-01-02,20,20,11,0,0,0,0,0,1,0,0,0.15,0.2,1.0346920444986616,0.7016879191006176,0.0353864904341244,0.0194625697387684,0.0504305254100437,2.0369956338701334,0.6575941389545321,-0.7862351988314115,0.07448665002985495,0.25848267462897456,0.25842977739685896,-0.08764665006837263,2.2871777351697187,0.37764753746179175,-0.42871661622123974,-0.4627700390249247,0.3044474367610124,0.018697257339101395,-0.6538210471994524
8,569,2024-01-02,2024-01-31,20,20,17,0,0,0,0,0,1,0,0,0.15,0.2,0.945787549966799,-1.4107130357675794,-0.0548978752730952,-0.0466631939821309,0.0389149840408363,1.6851806996048107,0.4560853329209476,0.21772896532867864,-0.8927754726767683,-0.03692309592514815,-0.11220529478077564,-0.08329976663146359,1.2862499055542698,1.7983627463168204,0.12257264437318607,0.44620216196462975,-0.4188082302704612,0.19039653071549573,-0.027131223507349162
9,590,2024-02-01,2024-03-01,20,20,8,0,0,0,0,0,1,0,0,0.15,0.2,1.0081862938151205,0.4157468952504982,0.0083567315080003,0.0033426926032001,0.0201005265546606,-0.07928980962677971,2.015025524892733,0.1975907054331569,0.2956198093578516,-0.41840082906562354,0.21483494229833658,0.046942246610956334,1.6057836917631443,0.7740698881804428,1.1937335946613838,-0.3001295853109322,-0.7096342693664043,0.07389794320262115,0.01494810352460952
